čČNB,název/autor,popis zdroje,Wikidata QID
cnb002955079,Hry / Václav Havel,"505$a rozpis + 70012 s UN, 3 nakladatelé + 3 ISBN",Q122007391
cnb003549291,"Hamlet, dánský princ = Hamlet, the Prince of Denmark / William Shakespeare",souběžný název a text + 70012 s UN,Q124649038
cnb003345702,Karla ; Chyže pod horami ;  Dlouhá noc ; Sestry / Božena Němcová,přítisky + 70012 bez UN,Q122108082
cnb002965286,"Matematika. Konstrukční úlohy / M. Jedličková, P. Krupka, J. Nechvátalová","dílovka ve 2 sv.: 245a+p, 505 s rozpisem",Q122010310
cnb003505375,Robinson Crusoe / Vojtěch Kubašta,"adaptace díla, 700 s UN",Q122140187
cnb003578082,"Concerto for violin, piano and orchestra ; Violin sonata no. 3 ; Five short pieces / Martinů","zvukový záznam, 3 obsažená díla opakované pole 700",
cnb003578730,Čas je šťastněj lhář/Michal Prokop,"zvukový záznam, populární hudba, rozpis skladeb 505$t",
cnb003439598,Bílá Voda / Kateřina Tučková,audiokniha,
cnb003562641,Na Větrné hůrce / Emily Brontë ; z anglického originálu Wuthering Heights přeložila Kateřina Hilská,"audiokniha, název originálu UN 240",
cnb003499949,"Ašsko, Chebsko = Asch, Eger Umgebung : turistická a cykloturistická mapa 1:40 000 / vydal a zpracoval SHOCart, spol. s r.o.","mapa, 2 edice (490,830), kódovaná  kartografická data 034 ",
cnb003499850,"Hrady, zámky = Burgen und Schlößer = Castles and chateaux","mapa,  variantní názvy 246, nejisté datum vydání, 034,  ISBN v 020$a$z",
cnb003376966,Hrubá Skála / foto CBS Nakladatelství ; design Hana Prokopová,"pohlednice, geografické jméno v 651 ",
cnb003522254,Labské pískovce : národní parky České Švýcarsko a Saské Švýcarsko = Elbsandsteingebirge : Nationalparks Sächsische Schweiz und Böhmische Schweiz / zpracovali Ondřej Prášil a Kartografie HP s.r.o.,"mapy, variantní názvy 246",
cnb003576973,Cesta do Betléma : deset barevných litografií / Daniela Benešová ; [doslov] Karel Žižkovský,"grafika, edice",
